"No.","Time","Source","Destination","Protocol","Length","Info"
"452","24.046004","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3113, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"453","24.148410","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3114, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"454","24.250778","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3115, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"455","24.353107","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3116, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"456","24.455592","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3117, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"457","24.557908","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3118, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"458","24.660319","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3119, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"459","24.763182","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3120, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"499","24.865139","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3128, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"600","24.967446","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3154, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"783","25.070015","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3206, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"872","25.172401","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3235, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"877","25.274753","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3237, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"890","25.377096","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3238, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"893","25.479522","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3239, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"894","25.581955","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3240, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"895","25.684319","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3241, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"896","25.786735","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3242, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"897","25.889120","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3243, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"898","25.991495","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3244, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"899","26.093845","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3245, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"900","26.196322","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3246, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"901","26.298684","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3247, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"902","26.401051","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3248, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"907","26.503455","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3249, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"908","26.605880","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3250, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"909","26.708280","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3251, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"910","26.810623","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3252, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"911","26.913093","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3253, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"912","27.015436","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3254, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"913","27.117845","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3255, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"914","27.220278","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3256, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"915","27.322602","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3257, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"916","27.424994","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3258, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"920","27.527423","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3259, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"921","27.629812","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3260, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"922","27.732209","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3261, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
